Namespace(algo='a2c', batch_size=128, checkpoint_freq=250000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=1000000, nproc=8, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_a2c_shared/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 8 x (4, 84, 84) uint8
iter  46000 |loss  -0.06 |n_ep  8593 |ep_len   54.0 |ep_rew   0.53 |raw_ep_rew   7.81 |env_step 368000 |time 26:21 rem 546:33
iter  46500 |loss   0.13 |n_ep  8658 |ep_len   64.0 |ep_rew   0.85 |raw_ep_rew   8.00 |env_step 372000 |time 26:37 rem 546:06
iter  47000 |loss  -0.00 |n_ep  8721 |ep_len   60.2 |ep_rew   0.70 |raw_ep_rew   7.91 |env_step 376000 |time 26:55 rem 545:49
iter  47500 |loss  -0.07 |n_ep  8795 |ep_len   63.7 |ep_rew   0.78 |raw_ep_rew   8.47 |env_step 380000 |time 27:12 rem 545:28
iter  48000 |loss   0.05 |n_ep  8864 |ep_len   45.7 |ep_rew   0.39 |raw_ep_rew   7.48 |env_step 384000 |time 27:28 rem 544:58
iter  48500 |loss   0.04 |n_ep  8927 |ep_len   65.1 |ep_rew   0.85 |raw_ep_rew   6.66 |env_step 388000 |time 27:45 rem 544:36
iter  49000 |loss   0.09 |n_ep  8998 |ep_len   56.6 |ep_rew   0.60 |raw_ep_rew   7.02 |env_step 392000 |time 28:02 rem 544:11
iter  49500 |loss  -0.03 |n_ep  9064 |ep_len   69.6 |ep_rew   0.91 |raw_ep_rew   8.57 |env_step 396000 |time 28:18 rem 543:40
iter  50000 |loss   0.12 |n_ep  9122 |ep_len   78.7 |ep_rew   1.11 |raw_ep_rew   9.30 |env_step 400000 |time 28:35 rem 543:06
iter  50500 |loss  -0.04 |n_ep  9177 |ep_len   74.6 |ep_rew   1.06 |raw_ep_rew   9.24 |env_step 404000 |time 28:51 rem 542:41
iter  51000 |loss  -0.04 |n_ep  9239 |ep_len   60.7 |ep_rew   0.71 |raw_ep_rew   9.09 |env_step 408000 |time 29:08 rem 542:24
iter  51500 |loss   0.04 |n_ep  9306 |ep_len   60.8 |ep_rew   0.72 |raw_ep_rew   8.00 |env_step 412000 |time 29:25 rem 542:04
iter  52000 |loss  -0.09 |n_ep  9368 |ep_len   67.2 |ep_rew   0.89 |raw_ep_rew   8.31 |env_step 416000 |time 29:43 rem 541:47
iter  52500 |loss   0.01 |n_ep  9439 |ep_len   52.5 |ep_rew   0.48 |raw_ep_rew   6.93 |env_step 420000 |time 30:00 rem 541:28
iter  53000 |loss   0.06 |n_ep  9519 |ep_len   45.7 |ep_rew   0.31 |raw_ep_rew   6.09 |env_step 424000 |time 30:17 rem 541:10
iter  53500 |loss  -0.06 |n_ep  9580 |ep_len   67.7 |ep_rew   0.89 |raw_ep_rew   7.33 |env_step 428000 |time 30:34 rem 540:49
iter  54000 |loss  -0.02 |n_ep  9653 |ep_len   53.0 |ep_rew   0.48 |raw_ep_rew   7.66 |env_step 432000 |time 30:50 rem 540:20
iter  54500 |loss  -0.04 |n_ep  9715 |ep_len   70.4 |ep_rew   0.82 |raw_ep_rew   6.95 |env_step 436000 |time 31:06 rem 539:48
iter  55000 |loss  -0.04 |n_ep  9778 |ep_len   64.3 |ep_rew   0.74 |raw_ep_rew   8.13 |env_step 440000 |time 31:24 rem 539:33
iter  55500 |loss   0.03 |n_ep  9838 |ep_len   68.1 |ep_rew   0.94 |raw_ep_rew   8.77 |env_step 444000 |time 31:40 rem 539:05
iter  56000 |loss   0.08 |n_ep  9898 |ep_len   61.7 |ep_rew   0.75 |raw_ep_rew  10.16 |env_step 448000 |time 31:57 rem 538:44
iter  56500 |loss  -0.17 |n_ep  9954 |ep_len   74.2 |ep_rew   1.12 |raw_ep_rew   9.88 |env_step 452000 |time 32:14 rem 538:19
iter  57000 |loss   0.00 |n_ep 10016 |ep_len   63.1 |ep_rew   0.78 |raw_ep_rew   9.72 |env_step 456000 |time 32:30 rem 537:55
