Namespace(algo='dqn', batch_size=32, checkpoint_freq=200000, discount=0.99, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0001, niter=2000000, nproc=2, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_pen/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 2 x (4, 84, 84) uint8
iter  16500 |loss   0.00 |n_ep  1040 |ep_len   40.0 |ep_rew   0.04 |raw_ep_rew   1.13 |env_step  33000 |time 02:39 rem 319:00
iter  17000 |loss   0.00 |n_ep  1072 |ep_len   27.6 |ep_rew  -0.31 |raw_ep_rew   1.22 |env_step  34000 |time 02:44 rem 319:34
iter  17500 |loss   0.01 |n_ep  1097 |ep_len   44.7 |ep_rew   0.14 |raw_ep_rew   1.41 |env_step  35000 |time 02:49 rem 320:03
iter  18000 |loss   0.00 |n_ep  1129 |ep_len   31.5 |ep_rew  -0.17 |raw_ep_rew   1.42 |env_step  36000 |time 02:54 rem 320:30
iter  18500 |loss   0.00 |n_ep  1166 |ep_len   28.0 |ep_rew  -0.27 |raw_ep_rew   0.89 |env_step  37000 |time 02:59 rem 320:56
iter  19000 |loss   0.00 |n_ep  1199 |ep_len   30.8 |ep_rew  -0.20 |raw_ep_rew   0.94 |env_step  38000 |time 03:04 rem 321:22
iter  19500 |loss   0.02 |n_ep  1232 |ep_len   29.9 |ep_rew  -0.17 |raw_ep_rew   0.96 |env_step  39000 |time 03:10 rem 321:42
iter  20000 |loss   0.00 |n_ep  1264 |ep_len   29.0 |ep_rew  -0.27 |raw_ep_rew   1.02 |env_step  40000 |time 03:15 rem 321:55
iter  20500 |loss   0.01 |n_ep  1296 |ep_len   32.2 |ep_rew  -0.18 |raw_ep_rew   1.27 |env_step  41000 |time 03:20 rem 322:00
iter  21000 |loss   0.00 |n_ep  1326 |ep_len   31.6 |ep_rew  -0.19 |raw_ep_rew   1.25 |env_step  42000 |time 03:25 rem 322:08
iter  21500 |loss   0.00 |n_ep  1353 |ep_len   36.0 |ep_rew  -0.12 |raw_ep_rew   1.28 |env_step  43000 |time 03:30 rem 322:13
iter  22000 |loss   0.00 |n_ep  1386 |ep_len   32.0 |ep_rew  -0.18 |raw_ep_rew   1.02 |env_step  44000 |time 03:35 rem 322:24
iter  22500 |loss   0.00 |n_ep  1416 |ep_len   38.6 |ep_rew   0.07 |raw_ep_rew   1.35 |env_step  45000 |time 03:40 rem 322:31
iter  23000 |loss   0.00 |n_ep  1442 |ep_len   31.8 |ep_rew  -0.17 |raw_ep_rew   1.57 |env_step  46000 |time 03:45 rem 322:34
iter  23500 |loss   0.01 |n_ep  1479 |ep_len   24.5 |ep_rew  -0.38 |raw_ep_rew   0.98 |env_step  47000 |time 03:50 rem 322:43
